"YEAR","AVG_ESTIMATE"
1950,17.0175675675676
1960,16.1712328767123
1970,15.5421052631579
1980,14.989247311828
1981,14.9049382716049
1982,15.116049382716
1983,15.57125
1984,15.6407407407407
1985,15.0423728813559
1986,15.8980769230769
1987,15.9394230769231
1988,15.221186440678
1989,15.3432203389831
1990,15.3949152542373
1991,15.1957983193277
1992,14.3816666666667
1993,14.5851239669421
1994,14.5533333333333
1995,14.195
1996,13.5631147540984
1997,13.4308333333333
1998,13.1644628099174
1999,11.8503267973856
2000,11.7065789473684
2001,11.8092105263158
2002,11.9414473684211
2003,11.6064935064935
2004,12.2045751633987
2005,11.7754838709677
2006,11.8862745098039
2007,12.0611842105263
2008,12.012101910828
2009,12.2331210191083
2010,12.8070967741935
2011,12.6006369426752
2012,13.2908496732026
2013,13.2490322580645
2014,13.4471337579618
2015,13.925786163522
2016,14.3506329113924
2017,14.8654088050314
2018,15.2903474903475
